                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1738,                0.85402,                  1.053,                0.86072,                0.92591,                0.95385,                0.62665,                 1.0049,                0.75921,                0.99697,             0.00096561,             0.00096561,             0.00096561
                     36,                 1.1796,                0.84843,                  1.065,                0.85393,                0.95639,                0.97027,                0.65501,                0.97723,                0.74608,                0.99668,             0.00094498,             0.00094498,             0.00094498
                     37,                 1.1433,                0.81933,                 1.0456,                0.84146,                0.92017,                0.88297,                0.57624,                 1.0452,                0.80296,                 1.0038,             0.00092435,             0.00092435,             0.00092435
                     38,                 1.1387,                0.82578,                  1.049,                0.87847,                 0.8938,                0.94236,                0.59557,                 1.1657,                0.89685,                 1.0196,             0.00090372,             0.00090372,             0.00090372
                     39,                 1.1135,                0.79359,                 1.0403,                0.81651,                0.90146,                0.88226,                 0.5955,                0.97485,                0.76238,                0.97576,             0.00088309,             0.00088309,             0.00088309
                     40,                 1.1459,                0.78218,                 1.0403,                0.91011,                0.93398,                 0.9657,                0.64704,                0.99658,                0.73131,                0.97874,             0.00086246,             0.00086246,             0.00086246
                     41,                 1.1568,                0.80086,                   1.04,                0.86737,                0.92391,                0.94832,                0.62053,                  1.039,                0.73323,                0.98745,             0.00084184,             0.00084184,             0.00084184
                     42,                 1.1174,                0.77339,                 1.0382,                0.87138,                0.93827,                0.93113,                0.63095,                0.97017,                0.74224,                0.97465,             0.00082121,             0.00082121,             0.00082121
                     43,                 1.0943,                0.74764,                 1.0316,                0.87959,                0.91733,                0.93275,                0.64765,                 0.9377,                0.71895,                0.95572,             0.00080058,             0.00080058,             0.00080058
                     44,                 1.0928,                0.76593,                 1.0268,                0.84752,                 0.9031,                 0.9442,                0.63704,                0.97211,                0.76464,                0.96942,             0.00077995,             0.00077995,             0.00077995
                     45,                 1.0332,                0.75329,                 1.0023,                0.91287,                0.94994,                0.97214,                 0.6676,                0.97131,                 0.7452,                0.95925,             0.00075932,             0.00075932,             0.00075932
                     46,                 1.1321,                0.78106,                 1.0195,                0.92283,                0.92822,                0.96074,                0.65293,                0.95875,                0.67448,                0.95916,             0.00073869,             0.00073869,             0.00073869
                     47,                 1.0504,                0.73497,                 1.0143,                0.91237,                0.95022,                0.96177,                0.67302,                0.92833,                0.70874,                0.94916,             0.00071806,             0.00071806,             0.00071806
                     48,                0.99625,                0.67813,                0.99677,                0.89888,                0.94811,                0.97669,                0.68845,                0.88642,                0.66313,                0.94361,             0.00069743,             0.00069743,             0.00069743
                     49,                  1.042,                0.72846,                 1.0009,                0.93695,                0.94278,                0.97163,                 0.6613,                0.95309,                0.64706,                0.95451,              0.0006768,              0.0006768,              0.0006768
                     50,                 1.0376,                0.74852,                0.99294,                0.91045,                 0.9102,                0.93281,                0.62974,                 1.0124,                0.74653,                 0.9684,             0.00065617,             0.00065617,             0.00065617
                     51,                 1.0392,                 0.7198,                0.99483,                0.89939,                0.96206,                0.96119,                0.66156,                0.93565,                0.64085,                0.94923,             0.00063554,             0.00063554,             0.00063554
                     52,                 1.0538,                0.71794,                  1.023,                0.93229,                 0.9074,                0.97229,                   0.69,                0.85744,                0.61586,                 0.9237,             0.00061491,             0.00061491,             0.00061491
                     53,                0.98921,                0.68531,                0.97952,                0.91482,                0.94582,                0.96388,                0.66268,                 0.9023,                 0.6499,                0.93187,             0.00059429,             0.00059429,             0.00059429
                     54,                 1.0535,                0.67551,                0.99868,                0.90102,                0.91311,                0.96047,                0.68815,                0.85907,                0.62724,                 0.9256,             0.00057366,             0.00057366,             0.00057366
                     55,                  1.008,                0.65799,                 0.9947,                0.91853,                0.95734,                0.96528,                0.66588,                0.92927,                0.61524,                0.93367,             0.00055303,             0.00055303,             0.00055303
                     56,                0.94292,                0.64517,                0.97897,                0.93589,                0.98093,                0.98223,                0.71257,                0.82435,                 0.5824,                0.91334,              0.0005324,              0.0005324,              0.0005324
                     57,                 0.9979,                0.67337,                0.97559,                0.93117,                0.93514,                0.95269,                0.65178,                0.93679,                 0.6025,                0.92551,             0.00051177,             0.00051177,             0.00051177
                     58,                0.96318,                0.61805,                0.96665,                0.90472,                0.96206,                0.97045,                0.71105,                0.81609,                0.56433,                0.89988,             0.00049114,             0.00049114,             0.00049114
                     59,                0.97326,                0.63301,                0.97465,                0.90637,                0.91837,                0.96756,                0.71314,                0.82866,                0.62138,                0.90605,             0.00047051,             0.00047051,             0.00047051
                     60,                0.94144,                0.62954,                0.97465,                0.92242,                0.96678,                0.97706,                0.70658,                0.83612,                0.58022,                0.91874,             0.00044988,             0.00044988,             0.00044988
                     61,                0.95856,                0.61863,                0.97663,                0.94632,                0.94139,                0.98153,                0.72045,                0.82013,                0.57458,                0.90846,             0.00042925,             0.00042925,             0.00042925
                     62,                 0.9674,                 0.6365,                0.96872,                0.93354,                0.95242,                 0.9729,                0.68434,                0.86082,                0.57899,                0.92346,             0.00040862,             0.00040862,             0.00040862
                     63,                 1.0028,                 0.6875,                0.96703,                0.93597,                0.95262,                0.97991,                0.72189,                0.78832,                 0.5674,                0.90243,             0.00038799,             0.00038799,             0.00038799
                     64,                 1.0285,                0.64829,                0.96263,                0.94163,                0.97248,                0.98597,                0.73263,                0.80196,                0.56606,                0.90209,             0.00036737,             0.00036737,             0.00036737
                     65,                0.93764,                0.63834,                 0.9625,                0.93692,                0.96913,                0.98151,                0.70594,                0.79869,                0.56329,                0.89968,             0.00034674,             0.00034674,             0.00034674
                     66,                 1.0078,                0.65103,                0.99377,                0.93316,                0.96518,                0.98045,                0.72522,                0.80506,                0.55216,                0.90301,             0.00032611,             0.00032611,             0.00032611
                     67,                0.96539,                0.64508,                0.97207,                0.93594,                0.96089,                0.97022,                0.70423,                0.81658,                0.55686,                0.90088,             0.00030548,             0.00030548,             0.00030548
                     68,                0.91605,                0.59274,                0.95778,                 0.9334,                0.96678,                0.98036,                0.70734,                0.82582,                0.56439,                0.91137,             0.00028485,             0.00028485,             0.00028485
                     69,                0.90934,                0.60035,                0.94819,                 0.9579,                0.95734,                0.98285,                0.72094,                 0.7824,                0.53578,                0.89737,             0.00026422,             0.00026422,             0.00026422
                     70,                0.94714,                0.60637,                0.93874,                0.94514,                0.95453,                0.97613,                0.71959,                0.80276,                0.54224,                0.89427,             0.00024359,             0.00024359,             0.00024359
                     71,                0.89126,                0.59865,                0.92074,                0.92729,                0.98564,                0.97994,                0.69539,                0.89429,                0.55833,                0.90477,             0.00022296,             0.00022296,             0.00022296
                     72,                 0.8584,                0.58906,                0.93209,                0.93909,                0.96971,                0.98245,                 0.7072,                0.81128,                0.55397,                0.88624,             0.00020233,             0.00020233,             0.00020233
                     73,                0.83823,                0.58384,                0.93427,                0.96282,                0.97092,                0.98845,                0.72694,                0.80165,                0.53576,                 0.8842,              0.0001817,              0.0001817,              0.0001817
                     74,                0.84084,                0.57252,                0.94521,                0.95172,                0.98251,                0.98873,                0.72631,                0.77662,                0.51474,                0.88024,             0.00016107,             0.00016107,             0.00016107
                     75,                0.83345,                0.56213,                0.94312,                0.96131,                0.97906,                0.98638,                0.72541,                0.81069,                0.55798,                0.88756,             0.00014044,             0.00014044,             0.00014044
                     76,                0.84508,                0.56067,                0.91722,                0.96703,                0.98167,                0.99049,                0.74635,                 0.7517,                 0.5077,                0.88026,             0.00011982,             0.00011982,             0.00011982
                     77,                0.85485,                0.56436,                0.92258,                0.96727,                0.97857,                0.98898,                 0.7133,                0.80801,                0.52415,                0.88372,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     78,                0.81094,                 0.5504,                0.92564,                0.95964,                0.98093,                0.99005,                0.75975,                0.74388,                0.50842,                0.87717,             7.8557e-05,             7.8557e-05,             7.8557e-05
                     79,                0.75441,                0.54195,                0.91552,                0.96228,                0.97264,                 0.9898,                0.75224,                0.72694,                0.49836,                0.87264,             5.7928e-05,             5.7928e-05,             5.7928e-05
                     80,                0.78558,                0.53709,                0.93092,                0.95984,                 0.9818,                0.99013,                0.75623,                 0.7187,                0.49578,                0.87225,             3.7299e-05,             3.7299e-05,             3.7299e-05
