                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1225,                0.77731,                  1.064,                0.86806,                0.91523,                0.94639,                 0.6583,                0.93059,                0.72126,                 1.0237,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.1236,                0.82184,                 1.0809,                0.86349,                0.91851,                0.93972,                0.61747,                 1.0071,                0.73199,                 1.0292,             0.00051177,             0.00051177,             0.00051177
                     37,                  1.029,                0.74052,                 1.0386,                0.90691,                0.93133,                0.94715,                0.63485,                0.93711,                 0.7256,                 1.0098,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.0299,                0.73927,                 1.0534,                0.89802,                0.94047,                0.96118,                0.66768,                0.91283,                 0.6834,                0.99504,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.1059,                0.82597,                 1.0736,                0.90202,                0.91524,                0.95066,                0.64624,                0.90004,                 0.6966,                 1.0007,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.0654,                0.76204,                 1.0489,                 0.8564,                0.92376,                0.94743,                0.66137,                0.84996,                0.69671,                0.97534,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.0012,                0.88691,                 1.0616,                0.90688,                0.93779,                0.96261,                0.66404,                0.89827,                0.77565,                0.98426,             0.00034674,             0.00034674,             0.00034674
                     42,                0.93791,                0.77187,                 1.0216,                0.90441,                0.93485,                0.94942,                0.63607,                0.91537,                0.73569,                0.97738,             0.00031373,             0.00031373,             0.00031373
                     43,                 0.9468,                0.72643,                 1.0269,                0.89369,                0.93752,                0.96678,                0.65379,                0.92859,                0.66669,                0.99397,             0.00028072,             0.00028072,             0.00028072
                     44,                 0.9173,                0.71137,                 1.0117,                0.94065,                0.94207,                 0.9788,                0.67857,                0.87423,                0.64677,                0.96312,             0.00024772,             0.00024772,             0.00024772
                     45,                0.90437,                0.70035,                 1.0099,                0.85793,                0.92622,                0.91809,                0.63496,                0.86089,                0.64436,                0.95693,             0.00021471,             0.00021471,             0.00021471
                     46,                 0.9142,                0.69333,                 1.0174,                0.87637,                  0.916,                0.92271,                0.62506,                0.90341,                0.66217,                0.96896,              0.0001817,              0.0001817,              0.0001817
                     47,                0.88295,                0.66312,                0.98633,                0.90272,                0.95783,                0.96657,                 0.6623,                0.87854,                0.63291,                0.96467,              0.0001487,              0.0001487,              0.0001487
                     48,                0.87837,                0.65086,                 1.0064,                 0.9073,                0.97037,                0.97703,                0.67695,                0.87134,                0.62723,                0.95951,             0.00011569,             0.00011569,             0.00011569
                     49,                0.84689,                 0.6409,                 0.9951,                 0.9293,                0.97312,                0.97877,                0.68978,                0.85236,                0.61661,                0.95645,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.84614,                0.62894,                0.97556,                0.91796,                0.95938,                 0.9671,                0.67749,                 0.8398,                0.60422,                0.95617,             4.9677e-05,             4.9677e-05,             4.9677e-05
